,Date,Open,High,Low,Close,Volume
,"Mar 23, 2022","1,336.45","1,337.28","1,325.82","1,325.82","139,278,177"
,"Mar 24, 2022","1,330.96","1,331.21","1,322.27","1,326.24","111,786,289"
,"Mar 25, 2022","1,326.63","1,331.54","1,324.62","1,330.74","115,462,351"
,"Mar 28, 2022","1,328.00","1,331.47","1,324.09","1,331.10","107,935,737"
,"Mar 29, 2022","1,331.08","1,337.17","1,326.45","1,335.65","125,263,457"
,"Mar 30, 2022","1,334.22","1,337.21","1,330.86","1,334.79","118,643,873"
,"Mar 31, 2022","1,337.08","1,341.04","1,322.67","1,322.67","128,890,503"
,"Apr 1, 2022","1,328.57","1,332.31","1,320.08","1,326.57","116,342,303"
,"Apr 4, 2022","1,327.79","1,336.39","1,325.25","1,336.07","141,387,073"
,"Apr 5, 2022","1,333.85","1,344.63","1,328.69","1,329.63","133,659,436"
,"Apr 6, 2022","1,325.08","1,327.27","1,317.61","1,322.30","95,654,713"
,"Apr 7, 2022","1,322.49","1,323.96","1,311.34","1,323.03","99,222,182"
,"Apr 8, 2022","1,325.70","1,329.71","1,322.10","1,324.37","82,438,647"
,"Apr 11, 2022","1,324.42","1,326.42","1,318.13","1,320.55","146,425,786"
,"Apr 12, 2022","1,326.10","1,328.69","1,313.97","1,314.91","112,959,224"
,"Apr 13, 2022","1,318.32","1,322.59","1,314.67","1,319.34","90,161,576"
,"Apr 14, 2022","1,320.96","1,325.95","1,320.54","1,320.93","114,921,154"
,"Apr 18, 2022","1,320.83","1,327.69","1,320.01","1,321.81","101,583,107"
,"Apr 19, 2022","1,320.94","1,332.17","1,319.34","1,331.19","89,394,627"
,"Apr 20, 2022","1,330.54","1,333.08","1,326.13","1,328.91","96,266,740"
,"Apr 21, 2022","1,334.27","1,334.68","1,308.11","1,310.19","116,479,772"
,"Apr 22, 2022","1,307.07","1,307.07","1,281.52","1,281.87","145,102,861"
,"Apr 25, 2022","1,268.73","1,274.84","1,251.78","1,270.88","159,858,234"
,"Apr 26, 2022","1,271.11","1,271.48","1,252.60","1,252.60","123,589,715"
,"Apr 27, 2022","1,255.69","1,262.98","1,248.02","1,255.67","109,084,446"
,"Apr 28, 2022","1,265.34","1,283.48","1,261.24","1,277.98","144,200,320"
,"Apr 29, 2022","1,271.62","1,279.39","1,254.93","1,255.54","141,483,377"
,"May 2, 2022","1,253.68","1,257.37","1,239.87","1,254.38","126,627,578"
,"May 3, 2022","1,256.46","1,274.55","1,255.98","1,266.84","108,153,543"
,"May 4, 2022","1,270.56","1,283.20","1,259.80","1,281.56","133,289,359"
,"May 5, 2022","1,276.74","1,276.74","1,244.69","1,253.28","128,830,181"
,"May 6, 2022","1,251.53","1,256.04","1,237.49","1,250.59","128,341,563"
,"May 9, 2022","1,236.75","1,236.75","1,213.09","1,215.79","152,225,822"
,"May 10, 2022","1,225.71","1,231.19","1,201.34","1,209.27","169,042,432"
,"May 11, 2022","1,210.63","1,226.49","1,203.29","1,206.56","158,397,647"
,"May 12, 2022","1,197.34","1,204.13","1,185.77","1,199.50","141,520,722"
,"May 13, 2022","1,209.50","1,225.66","1,209.50","1,219.96","128,190,149"
,"May 16, 2022","1,220.96","1,232.08","1,217.30","1,225.84","169,229,860"
,"May 17, 2022","1,239.21","1,242.57","1,232.13","1,240.87","143,845,420"
,"May 18, 2022","1,236.76","1,236.76","1,214.29","1,217.95","143,004,761"
,"May 19, 2022","1,206.15","1,229.73","1,204.82","1,220.35","131,989,815"
,"May 20, 2022","1,229.48","1,231.22","1,206.57","1,222.49","96,980,283"
,"May 24, 2022","1,231.32","1,232.20","1,220.44","1,228.90","163,473,024"
,"May 25, 2022","1,229.73","1,238.08","1,228.08","1,233.69","102,319,669"
,"May 26, 2022","1,237.83","1,247.22","1,237.43","1,241.28","148,800,719"
,"May 27, 2022","1,244.86","1,257.58","1,244.39","1,255.40","141,749,645"
,"May 30, 2022","1,260.76","1,266.95","1,258.89","1,265.36","55,588,129"
,"May 31, 2022","1,258.91","1,265.04","1,252.98","1,254.79","275,338,578"
,"Jun 1, 2022","1,260.01","1,262.68","1,247.68","1,253.84","128,085,095"
,"Jun 2, 2022","1,253.64","1,271.50","1,253.64","1,271.13","105,743,425"
,"Jun 3, 2022","1,264.06","1,265.25","1,254.08","1,256.72","83,379,531"
,"Jun 6, 2022","1,263.35","1,265.00","1,256.26","1,257.79","141,538,974"
,"Jun 7, 2022","1,252.27","1,263.36","1,250.49","1,263.26","114,250,225"
,"Jun 8, 2022","1,260.02","1,261.83","1,249.68","1,254.51","116,274,078"
,"Jun 9, 2022","1,250.38","1,254.71","1,241.63","1,241.63","119,560,782"
,"Jun 10, 2022","1,231.33","1,231.33","1,219.22","1,223.33","131,585,190"
,"Jun 13, 2022","1,205.57","1,205.57","1,186.46","1,194.52","174,582,550"
