,Date,Open,High,Low,Close,Volume
,"Feb 15, 2022",170.97,172.95,170.25,172.79,"64,286,320"
,"Feb 16, 2022",171.85,173.34,170.05,172.55,"61,177,398"
,"Feb 17, 2022",171.03,171.91,168.47,168.88,"69,589,344"
,"Feb 18, 2022",169.82,170.54,166.19,167.30,"82,772,674"
,"Feb 22, 2022",164.98,166.69,162.15,164.32,"91,162,758"
,"Feb 23, 2022",165.54,166.15,159.75,160.07,"90,009,247"
,"Feb 24, 2022",152.58,162.85,152.00,162.74,"141,147,540"
,"Feb 25, 2022",163.84,165.12,160.87,164.85,"91,974,222"
,"Feb 28, 2022",163.06,165.42,162.43,165.12,"95,056,629"
,"Mar 1, 2022",164.70,166.60,161.97,163.20,"83,474,425"
,"Mar 2, 2022",164.39,167.36,162.95,166.56,"79,724,750"
,"Mar 3, 2022",168.47,168.91,165.55,166.23,"76,678,441"
,"Mar 4, 2022",164.49,165.55,162.10,163.17,"83,819,592"
,"Mar 7, 2022",163.36,165.02,159.04,159.30,"96,418,845"
,"Mar 8, 2022",158.82,162.88,155.80,157.44,"131,148,280"
,"Mar 9, 2022",161.48,163.41,159.41,162.95,"91,454,905"
,"Mar 10, 2022",160.20,160.39,155.98,158.52,"105,342,033"
,"Mar 11, 2022",158.93,159.28,154.50,154.73,"96,970,102"
,"Mar 14, 2022",151.45,154.12,150.10,150.62,"108,732,111"
,"Mar 15, 2022",150.90,155.57,150.38,155.09,"92,964,302"
,"Mar 16, 2022",157.05,160.00,154.46,159.59,"102,300,157"
,"Mar 17, 2022",158.61,161.00,157.63,160.62,"75,615,376"
,"Mar 18, 2022",160.51,164.48,159.76,163.98,"123,511,692"
,"Mar 21, 2022",163.51,166.35,163.01,165.38,"95,811,352"
,"Mar 22, 2022",165.51,169.42,164.91,168.82,"81,532,007"
,"Mar 23, 2022",167.99,172.64,167.65,170.21,"98,062,674"
,"Mar 24, 2022",171.06,174.14,170.21,174.07,"90,131,418"
,"Mar 25, 2022",173.88,175.28,172.75,174.72,"80,546,156"
,"Mar 28, 2022",172.17,175.73,172.00,175.60,"90,371,916"
,"Mar 29, 2022",176.69,179.01,176.34,178.96,"100,589,440"
,"Mar 30, 2022",178.55,179.61,176.70,177.77,"92,633,154"
,"Mar 31, 2022",177.84,178.03,174.40,174.61,"103,049,285"
,"Apr 1, 2022",174.03,174.88,171.94,174.31,"78,751,328"
,"Apr 4, 2022",174.57,178.49,174.44,178.44,"76,545,983"
,"Apr 5, 2022",177.50,178.30,174.42,175.06,"73,401,786"
,"Apr 6, 2022",172.36,173.63,170.13,171.83,"89,058,782"
,"Apr 7, 2022",171.16,173.36,169.85,172.14,"77,594,650"
,"Apr 8, 2022",171.78,171.78,169.20,170.09,"76,575,508"
,"Apr 11, 2022",168.71,169.03,165.50,165.75,"72,246,706"
,"Apr 12, 2022",168.02,169.87,166.64,167.66,"79,265,181"
,"Apr 13, 2022",167.39,171.04,166.77,170.40,"70,618,925"
,"Apr 14, 2022",170.62,171.27,165.04,165.29,"75,329,376"
,"Apr 18, 2022",163.92,166.60,163.57,165.07,"69,023,941"
,"Apr 19, 2022",165.02,167.82,163.91,167.40,"67,723,833"
,"Apr 20, 2022",168.76,168.88,166.10,167.23,"67,929,814"
,"Apr 21, 2022",168.91,171.53,165.91,166.42,"87,227,768"
,"Apr 22, 2022",166.46,167.87,161.50,161.79,"84,882,424"
,"Apr 25, 2022",161.12,163.17,158.46,162.88,"96,046,376"
,"Apr 26, 2022",162.25,162.34,156.72,156.80,"95,623,240"
,"Apr 27, 2022",155.91,159.79,155.38,156.57,"88,063,191"
,"Apr 28, 2022",159.25,164.52,158.93,163.64,"130,216,792"
,"Apr 29, 2022",161.84,166.20,157.25,157.65,"131,747,571"
,"May 2, 2022",156.71,158.23,153.27,157.96,"123,055,265"
,"May 3, 2022",158.15,160.71,156.32,159.48,"88,966,526"
,"May 4, 2022",159.67,166.48,159.26,166.02,"108,256,503"
,"May 5, 2022",163.85,164.08,154.95,156.77,"130,525,275"
,"May 6, 2022",156.01,159.44,154.18,157.28,"116,124,647"
,"May 9, 2022",154.93,155.83,151.49,152.06,"131,577,921"
,"May 10, 2022",155.52,156.74,152.93,154.51,"115,366,736"
,"May 11, 2022",153.50,155.45,145.81,146.50,"142,689,825"
,"May 12, 2022",142.77,146.20,138.80,142.56,"182,602,041"
,"May 13, 2022",144.59,148.10,143.11,147.11,"113,990,852"
,"May 16, 2022",145.55,147.52,144.18,145.54,"86,643,781"
,"May 17, 2022",148.86,149.77,146.68,149.24,"78,336,254"
,"May 18, 2022",146.85,147.36,139.90,140.82,"109,742,890"
,"May 19, 2022",139.88,141.66,136.60,137.35,"136,095,640"
,"May 20, 2022",139.09,140.70,132.61,137.59,"137,426,125"
,"May 23, 2022",137.79,143.26,137.65,143.11,"117,726,265"
,"May 24, 2022",140.81,141.97,137.33,140.36,"104,132,746"
,"May 25, 2022",138.43,141.79,138.34,140.52,"92,482,696"
,"May 26, 2022",137.39,144.34,137.14,143.78,"90,601,548"
,"May 27, 2022",145.39,149.68,145.26,149.64,"90,978,503"
,"May 31, 2022",149.07,150.66,146.84,148.84,"103,718,416"
,"Jun 1, 2022",149.90,151.74,147.68,148.71,"74,286,635"
,"Jun 2, 2022",147.83,151.27,146.86,151.21,"72,348,055"
,"Jun 3, 2022",146.90,147.97,144.46,145.38,"88,570,289"
,"Jun 6, 2022",147.03,148.57,144.90,146.14,"71,598,380"
,"Jun 7, 2022",144.35,149.00,144.10,148.71,"67,808,150"
,"Jun 8, 2022",148.58,149.87,147.46,147.96,"53,950,201"
,"Jun 9, 2022",147.08,147.95,142.53,142.64,"69,472,976"
,"Jun 10, 2022",140.28,140.76,137.06,137.13,"91,566,637"
,"Jun 13, 2022",132.87,135.20,131.44,131.88,"122,207,099"
,"Jun 14, 2022",133.13,133.89,131.48,132.76,"84,784,326"
,"Jun 15, 2022",134.29,137.34,132.16,135.43,"91,532,972"
,"Jun 16, 2022",132.08,132.39,129.04,130.06,"107,961,508"
,"Jun 17, 2022",130.07,133.08,129.81,131.56,"134,520,290"
,"Jun 21, 2022",133.42,137.06,133.32,135.87,"81,000,488"
,"Jun 22, 2022",134.79,137.76,133.91,135.35,"73,409,234"
,"Jun 23, 2022",136.82,138.59,135.63,138.27,"72,433,768"
,"Jun 24, 2022",139.90,141.91,139.77,141.66,"89,116,837"
,"Jun 27, 2022",142.70,143.49,140.97,141.66,"70,207,908"
,"Jun 28, 2022",142.13,143.42,137.32,137.44,"67,315,328"
,"Jun 29, 2022",137.46,140.67,136.67,139.23,"66,242,411"
,"Jun 30, 2022",137.25,138.37,133.77,136.72,"98,964,467"
,"Jul 1, 2022",136.04,139.04,135.66,138.93,"71,051,552"
,"Jul 5, 2022",137.77,141.61,136.93,141.56,"73,429,641"
,"Jul 6, 2022",141.35,144.12,141.08,142.92,"74,064,254"
,"Jul 7, 2022",143.29,146.55,143.28,146.35,"66,253,709"
,"Jul 8, 2022",145.26,147.55,145.00,147.04,"64,547,798"
,"Jul 11, 2022",145.67,146.64,143.78,144.87,"63,305,113"
,"Jul 12, 2022",145.76,148.45,145.05,145.86,"77,588,759"
,"Jul 13, 2022",142.99,146.45,142.12,145.49,"71,185,560"
,"Jul 14, 2022",144.08,148.95,143.25,148.47,"78,140,744"
,"Jul 15, 2022",149.78,150.86,148.20,150.17,"76,259,931"
,"Jul 18, 2022",150.74,151.57,146.70,147.07,"81,420,868"
,"Jul 19, 2022",147.92,151.23,146.91,151.00,"82,982,367"
,"Jul 20, 2022",151.12,153.72,150.37,153.04,"64,823,413"
,"Jul 21, 2022",154.50,155.57,151.94,155.35,"65,086,636"
,"Jul 22, 2022",155.39,156.28,153.41,154.09,"66,675,408"
,"Jul 25, 2022",154.01,155.04,152.28,152.95,"53,623,945"
,"Jul 26, 2022",152.26,153.09,150.80,151.60,"55,138,691"
,"Jul 27, 2022",152.58,157.33,152.16,156.79,"78,620,688"
,"Jul 28, 2022",156.98,157.64,154.41,157.35,"81,378,731"
,"Jul 29, 2022",161.24,163.63,159.50,162.51,"101,786,860"
,"Aug 1, 2022",161.01,163.59,160.89,161.51,"67,829,379"
