Date,Open,High,Low,Close,Volume
"Nov 22, 2021",333.33,335.90,310.67,315.48,"5,013,637"
"Nov 23, 2021",312.50,319.70,304.60,317.20,"3,469,582"
"Nov 24, 2021",309.38,316.32,305.88,312.38,"2,759,755"
"Nov 26, 2021",301.30,307.92,299.15,303.19,"2,678,688"
"Nov 29, 2021",312.22,321.58,306.75,319.39,"4,159,701"
"Nov 30, 2021",320.75,331.70,310.98,315.00,"7,168,355"
"Dec 1, 2021",318.60,323.00,293.70,294.50,"4,278,100"
"Dec 2, 2021",295.16,305.32,283.82,284.71,"4,625,052"
"Dec 3, 2021",286.00,286.00,258.16,265.65,"7,271,065"
"Dec 6, 2021",253.13,267.23,244.46,263.24,"5,366,366"
"Dec 7, 2021",277.65,290.19,274.91,286.42,"4,648,218"
"Dec 8, 2021",284.44,290.00,278.29,287.48,"2,495,937"
"Dec 9, 2021",284.97,284.99,258.92,263.91,"5,394,557"
"Dec 10, 2021",266.30,269.19,250.15,255.76,"5,062,115"
"Dec 13, 2021",252.14,256.50,244.80,251.37,"3,410,449"
"Dec 14, 2021",247.28,260.50,243.50,255.86,"3,866,603"
"Dec 15, 2021",254.49,261.17,242.26,258.30,"4,623,492"
"Dec 16, 2021",264.46,268.26,244.63,247.17,"3,346,623"
"Dec 17, 2021",240.00,250.48,236.00,243.35,"4,420,273"
"Dec 20, 2021",236.56,239.37,231.77,238.05,"3,572,210"
"Dec 21, 2021",244.15,248.12,239.59,247.69,"2,776,472"
"Dec 22, 2021",248.51,254.79,245.64,254.55,"3,779,126"
"Dec 23, 2021",256.56,269.31,253.50,268.15,"4,106,052"
"Dec 27, 2021",270.26,281.99,270.20,280.27,"4,458,617"
"Dec 28, 2021",270.00,270.98,259.69,261.33,"4,372,818"
"Dec 29, 2021",256.67,263.01,251.37,252.60,"3,474,312"
"Dec 30, 2021",252.60,260.00,252.04,256.79,"2,887,587"
"Dec 31, 2021",255.81,259.21,251.52,252.37,"2,360,290"
"Jan 3, 2022",256.27,257.03,250.64,251.05,"3,363,202"
"Jan 4, 2022",253.05,258.81,244.14,250.15,"3,652,562"
"Jan 5, 2022",247.72,248.69,232.86,234.23,"5,196,254"
"Jan 6, 2022",233.19,235.98,224.88,234.00,"5,236,023"
"Jan 7, 2022",233.63,238.48,227.59,232.33,"3,311,993"
"Jan 10, 2022",224.43,225.26,214.64,225.01,"6,800,758"
"Jan 11, 2022",225.50,238.00,222.18,237.23,"5,585,589"
"Jan 12, 2022",242.11,246.27,234.42,234.70,"3,937,013"
"Jan 13, 2022",241.99,242.87,227.19,228.23,"3,814,065"
"Jan 14, 2022",226.62,232.00,222.30,230.03,"4,325,586"
"Jan 18, 2022",226.82,227.19,219.60,222.00,"3,491,862"
"Jan 19, 2022",224.25,227.17,218.82,219.50,"2,976,682"
"Jan 20, 2022",222.30,232.00,220.84,221.62,"3,691,232"
"Jan 21, 2022",209.98,210.19,186.86,191.97,"13,628,293"
"Jan 24, 2022",173.18,191.86,162.51,191.48,"12,999,147"
"Jan 25, 2022",185.17,193.12,177.15,185.63,"6,271,264"
"Jan 26, 2022",193.60,198.05,177.00,178.64,"7,566,264"
"Jan 27, 2022",182.03,182.75,168.58,170.20,"5,551,899"
"Jan 28, 2022",169.10,181.75,162.20,177.58,"6,475,768"
"Jan 31, 2022",177.87,192.00,175.03,190.15,"4,060,455"
"Feb 1, 2022",197.97,201.45,188.62,197.73,"5,159,003"
"Feb 2, 2022",195.81,197.00,181.73,187.37,"3,861,718"
"Feb 3, 2022",182.26,189.30,179.00,181.31,"3,417,048"
"Feb 4, 2022",181.02,197.00,177.45,194.44,"4,397,868"
"Feb 7, 2022",198.70,211.11,198.20,205.74,"6,668,315"
"Feb 8, 2022",200.37,209.25,196.75,208.73,"4,639,061"
"Feb 9, 2022",210.18,215.25,207.61,214.50,"3,811,658"
"Feb 10, 2022",210.57,217.49,202.86,204.77,"4,587,434"
"Feb 11, 2022",205.80,205.98,191.02,194.53,"5,054,238"
"Feb 14, 2022",193.48,203.56,193.46,195.25,"4,528,089"
"Feb 15, 2022",202.31,209.31,201.18,208.95,"3,714,304"
"Feb 16, 2022",205.38,214.02,203.83,207.96,"3,593,552"
"Feb 17, 2022",202.10,206.31,188.93,191.92,"4,740,622"
"Feb 18, 2022",191.08,192.72,180.54,189.16,"4,502,229"
"Feb 22, 2022",180.87,185.75,173.16,176.76,"4,472,786"
"Feb 23, 2022",180.69,183.34,171.77,172.74,"3,892,472"
"Feb 24, 2022",159.08,183.00,155.92,179.56,"8,133,964"
"Feb 25, 2022",180.24,182.09,170.40,176.83,"6,836,807"
"Feb 28, 2022",172.50,192.23,172.09,190.77,"8,036,264"
"Mar 1, 2022",196.28,205.88,189.63,196.17,"7,779,188"
"Mar 2, 2022",192.26,196.15,189.51,194.50,"3,414,149"
"Mar 3, 2022",194.71,194.92,177.15,178.03,"3,734,379"
"Mar 4, 2022",177.61,178.66,162.16,165.75,"5,861,262"
"Mar 7, 2022",168.25,172.98,160.23,161.14,"4,424,038"
"Mar 8, 2022",160.10,168.35,156.53,161.99,"3,840,779"
"Mar 9, 2022",174.26,181.45,173.51,178.97,"4,945,198"
"Mar 10, 2022",173.14,174.49,168.10,172.97,"2,670,643"
"Mar 11, 2022",175.35,175.75,160.00,160.07,"3,660,530"
"Mar 14, 2022",159.99,161.70,150.42,153.19,"4,450,007"
"Mar 15, 2022",152.90,156.42,150.12,155.98,"4,245,352"
"Mar 16, 2022",160.47,173.07,160.00,172.53,"5,974,284"
"Mar 17, 2022",170.73,177.50,168.00,177.22,"2,975,921"
"Mar 18, 2022",175.03,186.69,175.00,185.94,"4,835,706"
"Mar 21, 2022",181.80,183.59,171.70,176.81,"4,214,007"
"Mar 22, 2022",180.50,188.81,178.50,186.08,"4,086,096"
"Mar 23, 2022",184.72,189.55,181.80,183.11,"2,311,942"
"Mar 24, 2022",185.26,192.00,179.50,190.19,"3,536,524"
"Mar 25, 2022",192.00,195.70,182.80,186.71,"3,598,289"
"Mar 28, 2022",193.31,203.27,193.01,201.41,"6,623,976"
"Mar 29, 2022",198.95,206.79,194.05,204.53,"4,811,453"
"Mar 30, 2022",201.29,206.33,194.76,196.70,"3,775,930"
"Mar 31, 2022",197.25,198.08,189.56,189.86,"2,999,155"
"Apr 1, 2022",189.86,191.87,184.39,186.96,"2,975,933"
"Apr 4, 2022",187.34,193.07,186.16,191.65,"2,495,856"
"Apr 5, 2022",189.76,191.33,176.26,177.17,"5,012,770"
"Apr 6, 2022",172.83,174.33,165.01,166.84,"4,675,252"
"Apr 7, 2022",166.71,169.42,160.68,166.19,"3,093,646"
"Apr 8, 2022",165.21,166.00,160.13,160.94,"2,950,965"
"Apr 11, 2022",156.57,157.56,151.73,153.87,"4,305,772"
"Apr 12, 2022",158.07,162.44,149.41,149.85,"4,654,416"
"Apr 13, 2022",149.03,156.16,147.80,154.79,"3,740,506"
"Apr 14, 2022",153.54,154.00,146.82,147.29,"4,082,228"
"Apr 18, 2022",145.45,149.50,140.53,145.16,"4,668,692"
"Apr 19, 2022",146.02,152.10,144.45,151.27,"2,915,996"
"Apr 20, 2022",154.93,154.96,144.85,147.13,"3,485,996"
"Apr 21, 2022",151.97,153.44,135.31,137.32,"6,252,855"
"Apr 22, 2022",137.29,141.20,131.25,131.52,"5,162,150"
"Apr 25, 2022",130.01,137.35,129.29,135.14,"4,066,524"
"Apr 26, 2022",135.31,136.77,126.52,127.15,"3,717,615"
"Apr 27, 2022",125.28,130.71,121.98,122.55,"4,658,455"
"Apr 28, 2022",123.69,126.39,113.32,122.69,"8,070,894"
"Apr 29, 2022",121.10,129.09,112.14,112.71,"5,760,916"
"May 2, 2022",113.07,122.29,111.80,121.34,"6,229,416"
"May 3, 2022",120.23,129.40,119.97,123.56,"5,053,170"
"May 4, 2022",124.00,132.81,116.20,130.15,"6,492,773"
"May 5, 2022",125.00,125.64,112.05,114.25,"7,324,390"
"May 6, 2022",112.50,112.50,100.25,103.74,"9,026,454"
"May 9, 2022",96.00,96.43,81.78,83.51,"16,845,410"
"May 10, 2022",87.00,89.38,70.19,72.99,"31,780,044"
"May 11, 2022",54.85,61.28,50.15,53.72,"67,080,210"
"May 12, 2022",48.54,60.30,40.83,58.50,"58,789,009"
"May 13, 2022",69.26,74.25,65.50,67.87,"38,264,813"
"May 16, 2022",68.06,68.08,60.51,61.70,"18,685,889"
"May 17, 2022",66.20,70.50,63.11,70.00,"15,868,005"
"May 18, 2022",67.69,71.81,61.94,63.03,"17,422,703"
"May 19, 2022",65.00,70.99,63.61,67.42,"15,410,061"
"May 20, 2022",69.37,70.74,62.05,66.15,"15,166,300"
"May 23, 2022",65.54,68.65,62.35,66.10,"12,055,671"
"May 24, 2022",64.56,64.56,59.12,61.36,"10,714,877"
"May 25, 2022",61.07,68.50,60.99,67.17,"11,061,966"
"May 26, 2022",63.97,71.17,62.30,69.87,"12,000,226"
"May 27, 2022",69.84,77.18,69.84,75.32,"14,112,792"
"May 31, 2022",80.00,83.32,75.60,78.10,"22,623,167"
"Jun 1, 2022",77.50,77.80,67.80,68.63,"14,608,492"
"Jun 2, 2022",67.80,74.48,67.28,73.82,"8,643,601"
"Jun 3, 2022",69.39,70.50,65.61,66.69,"10,213,584"
"Jun 6, 2022",70.76,74.11,68.43,70.67,"9,352,377"
"Jun 7, 2022",67.31,69.97,64.36,69.57,"8,485,074"
"Jun 8, 2022",69.23,72.98,68.30,69.20,"6,276,638"
"Jun 9, 2022",69.08,69.38,63.12,63.76,"9,349,323"
"Jun 10, 2022",60.00,61.63,57.77,58.71,"11,001,124"
"Jun 13, 2022",46.18,54.30,46.00,52.01,"28,961,424"
"Jun 14, 2022",52.50,53.29,48.81,51.58,"17,430,264"
"Jun 15, 2022",50.94,56.66,50.45,55.01,"16,340,087"
"Jun 16, 2022",52.58,54.43,50.08,51.05,"13,157,743"
"Jun 17, 2022",50.12,52.80,49.28,51.22,"11,771,005"
"Jun 21, 2022",54.20,60.75,54.10,57.49,"16,916,242"
"Jun 22, 2022",53.87,56.75,51.57,51.91,"18,947,676"
"Jun 23, 2022",53.60,59.62,51.83,58.88,"15,840,689"
"Jun 24, 2022",60.00,64.09,59.33,62.71,"24,381,357"
"Jun 27, 2022",59.56,60.45,55.02,55.96,"15,201,607"
"Jun 28, 2022",56.26,57.25,50.33,51.18,"10,277,178"
"Jun 29, 2022",50.50,51.46,48.59,49.75,"9,776,155"
"Jun 30, 2022",48.20,48.40,44.15,47.02,"12,934,359"
"Jul 1, 2022",47.99,50.16,47.52,49.04,"8,556,521"
"Jul 5, 2022",48.13,55.82,45.95,55.41,"13,113,668"
"Jul 6, 2022",54.17,56.27,51.40,51.71,"11,881,899"
"Jul 7, 2022",52.14,57.65,52.14,57.46,"12,318,519"
"Jul 8, 2022",55.61,63.70,54.51,60.29,"17,950,500"
"Jul 11, 2022",57.54,58.43,53.30,53.88,"10,750,821"
"Jul 12, 2022",53.70,56.11,52.62,54.24,"8,466,218"
"Jul 13, 2022",51.68,54.73,50.40,53.10,"9,439,934"
"Jul 14, 2022",52.34,54.71,50.34,53.42,"9,682,070"
"Jul 15, 2022",54.35,56.55,51.93,53.79,"10,714,321"
"Jul 18, 2022",56.71,63.38,56.69,58.67,"21,226,156"
"Jul 19, 2022",60.86,65.98,57.78,65.83,"19,210,643"
"Jul 20, 2022",67.08,79.00,67.05,75.27,"34,031,955"
"Jul 21, 2022",71.00,76.62,70.28,73.98,"17,301,194"
"Jul 22, 2022",76.20,76.57,69.09,70.82,"12,013,281"
"Jul 25, 2022",68.93,69.98,66.30,67.07,"8,797,556"
"Jul 26, 2022",61.69,62.89,52.63,52.93,"26,875,839"
"Jul 27, 2022",54.87,60.61,53.12,58.83,"18,230,196"
"Jul 28, 2022",58.24,62.95,55.59,62.25,"13,674,813"
"Jul 29, 2022",60.14,64.23,59.77,62.96,"9,113,752"
"Aug 1, 2022",61.19,63.62,59.42,62.70,"7,361,252"
