Date,Open,High,Low,Close
10/18/2019,"988.96","985.47","980.01","980.04"
10/17/2019,"985.01","985.88","980.88","982.75"
10/16/2019,"984.80","985.26","982.57","983.98"
10/15/2019,"983.51","989.60","983.45","983.45"
10/11/2019,"986.75","989.45","982.54","982.65"
10/10/2019,"978.43","984.26","978.41","982.49"
10/09/2019,"976.03","981.24","973.81","979.34"
10/08/2019,"977.54","978.13","972.16","972.82"
10/07/2019,"981.40","984.44","979.79","981.34"
10/04/2019,"979.26","983.33","977.39","983.06"
10/03/2019,"973.97","978.20","967.83","978.16"
10/02/2019,"981.04","982.33","969.87","975.34"
10/01/2019,"999.08","1,001.26","983.89","985.03"
09/30/2019,"997.21","1,001.83","997.81","997.93"
09/27/2019,"1,003.82","1,003.72","996.30","999.15"
09/26/2019,"1,003.29","1,004.54","1,001.05","1,004.10"
09/25/2019,"1,001.32","1,004.51","999.38","1,003.58"
09/24/2019,"1,008.52","1,011.98","1,001.75","1,003.77"
09/23/2019,"1,008.97","1,009.97","1,006.93","1,008.12"
09/20/2019,"1,011.37","1,015.35","1,009.32","1,011.25"
09/19/2019,"1,007.49","1,012.96","1,007.50","1,009.36"
09/18/2019,"1,006.32","1,008.47","1,001.85","1,005.77"
09/17/2019,"1,001.45","1,008.58","1,000.13","1,006.85"
09/16/2019,"1,000.81","1,003.34","998.64","1,001.88"
09/13/2019,"998.47","1,003.35","998.27","998.54"
09/12/2019,"993.46","999.33","991.18","996.14"
09/11/2019,"989.22","993.92","988.66","992.96"
09/10/2019,"984.10","988.09","982.91","988.09"
09/09/2019,"989.99","989.70","982.92","985.16"
09/06/2019,"988.92","990.03","986.59","987.99"
09/05/2019,"985.50","992.73","984.93","990.35"
09/04/2019,"983.78","988.85","980.42","981.23"
09/03/2019,"978.60","981.65","974.83","979.11"
08/30/2019,"981.42","983.48","978.10","982.45"
08/28/2019,"965.50","972.45","964.67","970.82"
08/27/2019,"963.97","966.91","962.13","966.07"
08/21/2019,"969.44","973.95","969.04","973.95"
08/20/2019,"972.77","972.69","966.15","967.18"
08/19/2019,"969.72","975.51","968.52","974.30"
08/16/2019,"964.75","965.60","959.22","965.02"
08/15/2019,"956.36","959.17","952.47","955.84"
08/14/2019,"966.94","970.96","956.15","957.56"
08/13/2019,"967.82","978.30","967.98","976.59"
08/12/2019,"971.61","974.43","966.56","968.61"
08/09/2019,"975.88","978.81","971.61","974.34"
08/08/2019,"972.34","978.99","971.38","977.76"
08/07/2019,"956.73","970.75","955.07","969.46"
08/06/2019,"958.13","962.79","950.89","961.31"
08/02/2019,"976.23","977.47","965.06","969.49"
08/01/2019,"978.68","986.29","976.07","976.79"
07/31/2019,"980.88","982.52","971.72","979.73"
07/30/2019,"981.65","983.70","980.07","982.35"
07/29/2019,"988.32","988.76","984.21","984.88"
07/26/2019,"987.12","989.45","986.74","987.67"
07/25/2019,"992.43","992.38","982.83","984.85"
07/24/2019,"989.18","993.05","987.16","992.12"
07/23/2019,"989.84","991.96","988.21","990.28"
