Date,Open,High,Low,Close,Volume
"Jun 13, 2022",91.26,92.03,86.64,86.99,"98,148,812"
"Jun 14, 2022",87.41,88.30,85.82,86.99,"84,066,567"
"Jun 15, 2022",87.90,90.86,86.19,89.30,"95,774,807"
"Jun 16, 2022",86.63,86.73,80.64,82.05,"102,433,342"
"Jun 17, 2022",82.19,82.94,79.43,81.57,"105,212,293"
"Jun 21, 2022",84.17,85.81,82.60,83.79,"87,780,567"
"Jun 22, 2022",84.40,86.38,83.30,83.75,"86,634,716"
"Jun 23, 2022",84.32,84.41,80.23,82.43,"100,614,559"
"Jun 24, 2022",83.56,87.53,83.08,87.08,"88,553,886"
"Jun 27, 2022",87.36,88.22,85.25,86.16,"74,663,487"
"Jun 28, 2022",85.71,86.73,80.43,80.78,"95,752,533"
"Jun 29, 2022",79.55,79.75,76.51,77.99,"104,140,895"
"Jun 30, 2022",77.73,78.91,75.48,76.47,"105,368,616"
"Jul 1, 2022",75.19,75.45,72.69,73.67,"87,734,237"
"Jul 5, 2022",71.98,75.21,71.60,75.20,"95,685,751"
"Jul 6, 2022",75.17,76.28,73.55,75.35,"85,458,857"
"Jul 7, 2022",77.19,79.99,76.90,79.30,"83,640,945"
"Jul 8, 2022",78.31,80.47,77.40,79.35,"83,405,931"
"Jul 11, 2022",77.85,78.29,75.84,76.95,"76,247,536"
"Jul 12, 2022",76.98,77.44,74.43,76.36,"77,873,214"
"Jul 13, 2022",74.94,79.11,74.48,77.52,"79,354,976"
"Jul 14, 2022",78.23,79.25,76.00,78.60,"83,493,646"
"Jul 15, 2022",79.36,81.20,77.90,81.11,"76,050,597"
"Jul 18, 2022",82.21,84.47,80.94,81.43,"90,464,334"
"Jul 19, 2022",82.76,86.41,82.19,85.88,"85,047,506"
"Jul 20, 2022",85.39,89.92,85.08,89.43,"88,348,558"
"Jul 21, 2022",89.60,91.58,88.22,91.09,"90,449,338"
"Jul 22, 2022",90.20,90.69,87.04,88.10,"76,989,702"
"Jul 25, 2022",86.57,87.60,85.12,87.54,"70,083,006"
"Jul 26, 2022",87.00,87.75,84.71,85.25,"69,180,367"
"Jul 27, 2022",86.94,90.62,86.29,89.82,"78,301,564"
"Jul 28, 2022",90.42,92.22,88.59,91.67,"79,009,185"
"Jul 29, 2022",90.70,94.81,90.56,94.47,"76,630,707"
"Aug 1, 2022",95.59,98.39,93.96,96.78,"96,477,499"
